design_file,section,present,heading,eyebrow,nested_labels_or_columns
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Facts strip,True,,,French Limestone | 7 Days | Grade | Min. Climbers to Run | Week 5 of the 8-Week Tour
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Overview,True,Where the Pilgrimage Pays Off,About This Leg,
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Overview fact tiles,True,,,Duration | Location | Grade Range | Group Size | Head Coach | Price From
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Other dates / route schedule / related notice,True,Rock & Road 2026 — Full Schedule,The Full Journey,
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Gallery,True,"Crimps, Sidepulls & Sacrifice","Real Rock, Real Céüse",
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Audience,True,Built for the Technically Obsessed,Who Should Show Up,The Climbing Pilgrim | The Sequence Solver | The Travel-Hungry Climber
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Learning pillars,True,Three Skills Worth the Approach Hike,The Coaching,Technique | Mental Game | Tactics
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Programme / daily flow,True,A Typical Day,Daily Structure,
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Programme companion panel,True,Which Format?,1 Week vs Full Tour,"What's Included | 1 Week €950 | Full Tour €5,500"
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Venue / route area,True,"Céüse, France",The Venue,
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Coaches / guides,True,World-Class Coaches,Your Coaching Team,
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Reviews,True,What Past Climbers Say,Results,
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Practical logistics,True,We Sorted the Boring Bits,Accommodation & Logistics,Accommodation | Getting There | Gear | Group Size
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Inclusions / package,True,Full Package,What's Included,
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,FAQ,True,Common Questions,FAQ,
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Closing booking CTA,True,Ready to Earn the Approach?,Reserve Your Place,Reserve Your Place | Read the Programme | Book Now — €950
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Hero,True,ROCK & ROAD 2026 FRANKENJURA,,
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Hero pricing summary,True,,,Dates | Duration | Location | Level | Coaches
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Facts strip,True,,,Bavarian Limestone | 7 Days | Grade | Min. Climbers to Run | Week 2 of the 8-Week Tour
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Overview,True,Where Pockets Write History,About This Leg,
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Overview fact tiles,True,,,Duration | Location | Grade Range | Group Size | Head Coach | Price From
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Other dates / route schedule / related notice,True,Rock & Road 2026 — Full Schedule,The Full Journey,
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Gallery,True,"Crimps, Callouses & Consequences","Real Rock, Real Pockets",
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Audience,True,Built for the Power-Hungry,Who Should Show Up,The Endurance Athlete Chasing Power | The Climbing History Nerd | The Travel-Hungry Climber
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Learning pillars,True,Three Skills Worth the Callouses,The Coaching,Technique | Mental Game | Tactics
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Programme / daily flow,True,A Typical Day,Daily Structure,
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Programme companion panel,True,Which Format?,1 Week vs Full Tour,"What's Included | 1 Week €950 | Full Tour €5,500"
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Venue / route area,True,"Frankenjura, Germany",The Venue,
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Coaches / guides,True,World-Class Coaches,Your Coaching Team,
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Reviews,True,What Past Climbers Say,Results,
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Practical logistics,True,We Sorted the Boring Bits,Accommodation & Logistics,Accommodation | Getting There | Gear | Group Size
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Inclusions / package,True,Full Package,What's Included,
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,FAQ,True,Common Questions,FAQ,
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,Closing booking CTA,True,Ready to Meet Your Match(ed Pockets)?,Reserve Your Place,Reserve Your Place | Read the Programme | Book Now — €950
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Hero,True,ROCK & ROAD 2026 GORGES DU TARN,,
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Hero pricing summary,True,,,Dates | Duration | Location | Level | Coaches
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Facts strip,True,,,Southern French Limestone | 7 Days | Grade | Min. Climbers to Run | Week 6 of the 8-Week Tour
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Overview,True,Where Pockets Punish Generously,About This Leg,
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Overview fact tiles,True,,,Duration | Location | Grade Range | Group Size | Head Coach | Price From
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Other dates / route schedule / related notice,True,Rock & Road 2026 — Full Schedule,The Full Journey,
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Gallery,True,"Pumps, Pockets & River Swims","Real Rock, Real Tarn Pockets",
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Audience,True,Built for the Pump-Chasers,Who Should Show Up,The Endurance Junkie | The Grade-Pusher | The Travel-Hungry Climber
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Learning pillars,True,Three Skills Worth the Forearm Pump,The Coaching,Technique | Mental Game | Tactics
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Programme / daily flow,True,A Typical Day,Daily Structure,
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Programme companion panel,True,Which Format?,1 Week vs Full Tour,"What's Included | 1 Week €950 | Full Tour €5,500"
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Venue / route area,True,"Gorges du Tarn, France",The Venue,
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Coaches / guides,True,World-Class Coaches,Your Coaching Team,
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Reviews,True,What Past Climbers Say,Results,
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Practical logistics,True,We Sorted the Boring Bits,Accommodation & Logistics,Accommodation | Getting There | Gear | Group Size
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Inclusions / package,True,Full Package,What's Included,
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,FAQ,True,Common Questions,FAQ,
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,Closing booking CTA,True,Ready to Get Pumped (Literally)?,Reserve Your Place,Reserve Your Place | Read the Programme | Book Now — €950
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Hero,True,ROCK & ROAD 2026: LABSKE UDOLI,,
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Hero pricing summary,True,,,Dates | Duration | Location | Level | Coaches
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Facts strip,True,,,Czech Sandstone | 7 Days | Grade | Min. Climbers to Run | Week 1 of the 8-Week Tour
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Overview,True,Where Bolts Fear to Tread,About This Leg,
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Overview fact tiles,True,,,Duration | Location | Grade Range | Group Size | Head Coach | Price From
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Other dates / route schedule / related notice,True,Rock & Road 2026 — Full Schedule,The Full Journey,
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Gallery,True,"Spires, Slings & Stubbornness","Real Rock, Real Sandstone",
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Audience,True,Built for the Bold (and the Slightly Nervous),Who Should Show Up,The Bolt-Clipping Refugee | The Travel-Hungry Climber | The Ethics Nerd
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Learning pillars,True,Three Skills Worth the Bruises,The Coaching,Technique | Mental Game | Tactics
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Programme / daily flow,True,A Typical Day,Daily Structure,
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Programme companion panel,True,Which Format?,1 Week vs Full Tour,"What's Included | 1 Week €950 | Full Tour €5,500"
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Venue / route area,True,"Labské Údolí, Czech Republic",The Venue,
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Coaches / guides,True,World-Class Coaches,Your Coaching Team,
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Reviews,True,What Past Climbers Say,Results,
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Practical logistics,True,We Sorted the Boring Bits,Accommodation & Logistics,Accommodation | Getting There | Gear | Group Size
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Inclusions / package,True,Full Package,What's Included,
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,FAQ,True,Common Questions,FAQ,
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,Closing booking CTA,True,Ready to Get Humbled by Sandstone?,Reserve Your Place,Reserve Your Place | Read the Programme | Book Now — €950
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Hero,True,ROCK & ROAD 2026 MARGALEF,,
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Hero pricing summary,True,,,Dates | Duration | Location | Level | Coaches
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Facts strip,True,,,Catalan Conglomerate | 7 Days | Grade | Min. Climbers to Run | Week 7 of the 8-Week Tour
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Overview,True,Where Cobblestones Defy Gravity,About This Leg,
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Overview fact tiles,True,,,Duration | Location | Grade Range | Group Size | Head Coach | Price From
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Other dates / route schedule / related notice,True,Rock & Road 2026 — Full Schedule,The Full Journey,
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Gallery,True,"Cobbles, Monos & Catalan Pride","Real Rock, Real Conglomerate",
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Audience,True,Built for the Pocket-Obsessed,Who Should Show Up,The Pull-Up Enthusiast | The Rock-Type Collector | The Travel-Hungry Climber
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Learning pillars,True,Three Skills Worth the Callus Rebuild,The Coaching,Technique | Mental Game | Tactics
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Programme / daily flow,True,A Typical Day,Daily Structure,
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Programme companion panel,True,Which Format?,1 Week vs Full Tour,"What's Included | 1 Week €950 | Full Tour €5,500"
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Venue / route area,True,"Margalef, Spain",The Venue,
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Coaches / guides,True,World-Class Coaches,Your Coaching Team,
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Reviews,True,What Past Climbers Say,Results,
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Practical logistics,True,We Sorted the Boring Bits,Accommodation & Logistics,Accommodation | Getting There | Gear | Group Size
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Inclusions / package,True,Full Package,What's Included,
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,FAQ,True,Common Questions,FAQ,
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,Closing booking CTA,True,Ready to Trust the Cobblestones?,Reserve Your Place,Reserve Your Place | Read the Programme | Book Now — €950
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Hero,True,ROCK & ROAD 2026 OLTRE FINALE,,
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Hero pricing summary,True,,,Dates | Duration | Location | Level | Coaches
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Facts strip,True,,,Ligurian Limestone | 7 Days | Grade | Min. Climbers to Run | Week 4 of the 8-Week Tour
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Overview,True,Where the Rock Hides Well,About This Leg,
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Overview fact tiles,True,,,Duration | Location | Grade Range | Group Size | Head Coach | Price From
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Other dates / route schedule / related notice,True,Rock & Road 2026 — Full Schedule,The Full Journey,
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Gallery,True,"Tufas, Espresso & Timing","Real Rock, Real Ligurian Limestone",
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Audience,True,Built for the Creatively Stuck,Who Should Show Up,The One-Trick Climber | The Dolce Vita Believer | The Travel-Hungry Climber
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Learning pillars,True,Three Skills Worth the Chalk-Stained Fingers,The Coaching,Technique | Mental Game | Tactics
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Programme / daily flow,True,A Typical Day,Daily Structure,
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Programme companion panel,True,Which Format?,1 Week vs Full Tour,"What's Included | 1 Week €950 | Full Tour €5,500"
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Venue / route area,True,"Oltre Finale, Italy",The Venue,
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Coaches / guides,True,World-Class Coaches,Your Coaching Team,
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Reviews,True,What Past Climbers Say,Results,
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Practical logistics,True,We Sorted the Boring Bits,Accommodation & Logistics,Accommodation | Getting There | Gear | Group Size
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,Inclusions / package,True,Full Package,What's Included,
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,FAQ,True,Common Questions,FAQ,
