file,design,legacy_booking_id,event_id,event_slug,event_title,date_ids,selected_active_id,from,to,source_locations,notes,match_basis
ROCK & ROAD/event-date___oltre-finale-rock-road-europe-2026-09-05.html,ROCK & ROAD 2026 OLTRE FINALE,786,9,europe-rock-climbing-trip,Europe  Climbing Trip,685,685,2026-09-05,2026-09-12,finale-ligure,Already started/past on audit date: public route may fall back to another occurrence.,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
ROCK & ROAD/event-date___rock-road-europe-2026-08-15.html,ROCK & ROAD 2026 EUROPE,789,9,europe-rock-climbing-trip,Europe  Climbing Trip,"688,789",688,2026-08-15,2026-10-10,europe,Duplicate date range: active 688; inactive 789. Do not merge automatically. Already started/past on audit date: public route may fall back to another occurrence.,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
ROCK & ROAD/event-date___rodellar-rock-road-europe-2026-10-03.html,ROCK & ROAD 2026 RODELLAR,782,9,europe-rock-climbing-trip,Europe  Climbing Trip,681,681,2026-10-03,2026-10-10,rodellar,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
ROCK & ROAD/event-date___zillertal-rock-road-europe-2026-08-29.html,ROCK & ROAD 2026 ZILLERTAL,787,9,europe-rock-climbing-trip,Europe  Climbing Trip,686,686,2026-08-29,2026-09-05,zillertal,Already started/past on audit date: public route may fall back to another occurrence.,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
rockbusters_amuerte_rodellar.html,A MUERTE: THE PUC PERFORMANCE CAMP,775,49,advanced-sport-climbing-course,Advance sport climbing course,674,674,2026-10-24,2026-10-31,"margalef, rodellar",,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
rockbusters_beginnercourse_sella.html,SPORT CLIMBING BASICS: LEARN TO LEAD & CLIMB OUTDOORS,777,4,beginner-climbing-course,Novice course,676,676,2026-10-31,2026-11-07,sella,"Event 1 sport-climbing-basics has matching design branding, but different dates; booking evidence points to Event 4.",Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
rockbusters_betababes_cuenca.html,BETA BABES: WOMEN-ONLY SPORT CAMP,846,20,woman-climbing,Girls On Rock,740,740,2026-10-17,2026-10-24,cuenca,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
rockbusters_christmasretreat_sella.html,CHRISTMAS SPORT CLIMBING RETREAT (2 WEEKS),819,8,sport-climbing,"Sport Climbing Course: Kalymnos, Greece",714,714,2026-12-19,2027-01-02,sella,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
rockbusters_deepblue_mallorca.html,DEEP BLUE: THE PSICOBLOC CAMP,890,18,deep-water-solo-mallorca,Deep Water Solo / Mallorka,774,774,2026-08-17,2026-08-24,mallorca,"Event 2 deep-blue-psicobloc has matching design branding, but different dates; booking evidence points to Event 18. Already started/past on audit date: public route may fall back to another occurrence.",Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
rockbusters_dolcevita_dolomites.html,THE DOLOMITE DOLCE VITA,808,8,sport-climbing,"Sport Climbing Course: Kalymnos, Greece",704,704,2026-07-04,2026-07-11,dolomites,"Event 3 dolomite-dolce-vita has matching design branding, but different dates; booking evidence points to Event 8. Already started/past on audit date: public route may fall back to another occurrence.",Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
rockbusters_finaleligure_sportclimbing_3.html,SPORT CLIMBING SEND CAMP OLTRE FINALE,891,8,sport-climbing,"Sport Climbing Course: Kalymnos, Greece",775,775,2027-04-17,2027-05-01,finale-ligure,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
rockbusters_istria_easter.html,ISTRIAN EASTER ASCENT (2 WEEKS),822,8,sport-climbing,"Sport Climbing Course: Kalymnos, Greece",717,717,2027-03-20,2027-04-03,istria,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
rockbusters_knotsstone_czech.html,KNOTS & STONE: CZECH CLIMBING TRADITION,803,62,knots-stone-czech-climbing-tradition,KNOTS & STONE: Czech Climbing Tradition,701,701,2026-09-12,2026-09-19,labske-udoli,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
rockbusters_leonidio_winter.html,WINTER SPORT CLIMBING: LEONIDIO (2 WEEKS),812,8,sport-climbing,"Sport Climbing Course: Kalymnos, Greece",707,707,2027-01-23,2027-02-06,leonidio,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
rockbusters_projectX_rodellar.html,PROJECT X: SEND & WORK,874,55,climb-work,CLIMB & WORK,758,758,2026-10-10,2026-10-24,rodellar,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
rockbusters_sportclimbing_kalymnos.html,"SPORT CLIMBING COURSE KALYMNOS, GREECE",853,8,sport-climbing,"Sport Climbing Course: Kalymnos, Greece",745,745,2026-09-26,2026-10-10,kalymnos,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
