event_date_id,event_id,event_title,from,to,locations,design_context,existing_structured_content,missing_structured_content,preview_url,cms_url
672,49,Advance sport climbing course,2026-11-28,2026-12-05,"Terradets, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/advanced-sport-climbing-course?date=672,http://localhost:4444/admin/collections/event-dates/672
715,8,Sport Climbing Camp,2026-12-19,2026-12-26,"Sella, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=715,http://localhost:4444/admin/collections/event-dates/715
716,8,Sport Climbing Camp,2026-12-26,2027-01-02,"Sella, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=716,http://localhost:4444/admin/collections/event-dates/716
753,8,Sport Climbing Camp,2027-01-23,2027-01-30,"Leonidio, Greece",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=753,http://localhost:4444/admin/collections/event-dates/753
754,8,Sport Climbing Camp,2027-01-30,2027-02-06,"Leonidio, Greece",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=754,http://localhost:4444/admin/collections/event-dates/754
768,4,Novice course,2027-02-13,2027-02-20,"Sella, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/beginner-climbing-course?date=768,http://localhost:4444/admin/collections/event-dates/768
718,8,Sport Climbing Camp,2027-03-20,2027-03-27,"Istria, Croatia",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=718,http://localhost:4444/admin/collections/event-dates/718
756,20,Girls On Rock,2027-03-20,2027-03-27,"Cuenca, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/woman-climbing?date=756,http://localhost:4444/admin/collections/event-dates/756
719,8,Sport Climbing Camp,2027-03-27,2027-04-03,"Istria, Croatia",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=719,http://localhost:4444/admin/collections/event-dates/719
769,4,Novice course,2027-04-10,2027-04-17,"Margalef, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/beginner-climbing-course?date=769,http://localhost:4444/admin/collections/event-dates/769
776,8,Sport Climbing Camp,2027-04-17,2027-04-24,"Finale Ligure, Italy",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=776,http://localhost:4444/admin/collections/event-dates/776
777,8,Sport Climbing Camp,2027-04-24,2027-05-01,"Finale Ligure, Italy",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=777,http://localhost:4444/admin/collections/event-dates/777
759,55,CLIMB & WORK,2027-04-24,2027-05-08,"Rodellar, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/climb-work?date=759,http://localhost:4444/admin/collections/event-dates/759
721,33,Master Class Coaching with Klemen Bečan,2027-05-08,2027-05-15,"Rodellar, Spain",No audited dedicated design mapping for this Event.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/climbing-technique-mental-coaching?date=721,http://localhost:4444/admin/collections/event-dates/721
720,33,Master Class Coaching with Klemen Bečan,2027-05-08,2027-05-22,"Rodellar, Spain",No audited dedicated design mapping for this Event.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/climbing-technique-mental-coaching?date=720,http://localhost:4444/admin/collections/event-dates/720
722,33,Master Class Coaching with Klemen Bečan,2027-05-15,2027-05-22,"Rodellar, Spain",No audited dedicated design mapping for this Event.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/climbing-technique-mental-coaching?date=722,http://localhost:4444/admin/collections/event-dates/722
770,4,Novice course,2027-06-12,2027-06-19,"Frankenjura, Germany",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/beginner-climbing-course?date=770,http://localhost:4444/admin/collections/event-dates/770
764,8,Sport Climbing Camp,2027-06-19,2027-07-03,"Dolomites, Italy",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=764,http://localhost:4444/admin/collections/event-dates/764
762,8,Sport Climbing Camp,2027-06-19,2027-06-26,"Dolomites, Italy",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=762,http://localhost:4444/admin/collections/event-dates/762
763,8,Sport Climbing Camp,2027-06-26,2027-07-03,"Dolomites, Italy",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=763,http://localhost:4444/admin/collections/event-dates/763
771,4,Novice course,2027-07-17,2027-07-24,"Frankenjura, Germany",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/beginner-climbing-course?date=771,http://localhost:4444/admin/collections/event-dates/771
766,8,Sport Climbing Camp,2027-07-24,2027-08-07,"Dolomites, Italy",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=766,http://localhost:4444/admin/collections/event-dates/766
765,8,Sport Climbing Camp,2027-07-24,2027-07-31,"Dolomites, Italy",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=765,http://localhost:4444/admin/collections/event-dates/765
767,8,Sport Climbing Camp,2027-07-31,2027-08-07,"Dolomites, Italy",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=767,http://localhost:4444/admin/collections/event-dates/767
724,9,Europe Climbing Trip,2027-08-21,2027-08-28,"Labské Údolí, Czech Republic",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/europe-rock-climbing-trip?date=724,http://localhost:4444/admin/collections/event-dates/724
723,9,Europe Climbing Trip,2027-08-21,2027-10-16,,Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/europe-rock-climbing-trip?date=723,http://localhost:4444/admin/collections/event-dates/723
725,9,Europe Climbing Trip,2027-08-28,2027-09-04,"Frankenjura, Germany",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/europe-rock-climbing-trip?date=725,http://localhost:4444/admin/collections/event-dates/725
726,9,Europe Climbing Trip,2027-09-04,2027-09-11,"Zillertal, Austria",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/europe-rock-climbing-trip?date=726,http://localhost:4444/admin/collections/event-dates/726
727,9,Europe Climbing Trip,2027-09-11,2027-09-18,"Finale Ligure, Italy",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/europe-rock-climbing-trip?date=727,http://localhost:4444/admin/collections/event-dates/727
728,9,Europe Climbing Trip,2027-09-18,2027-09-25,"Ceüse, France",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/europe-rock-climbing-trip?date=728,http://localhost:4444/admin/collections/event-dates/728
729,9,Europe Climbing Trip,2027-09-25,2027-10-02,"Gorges du Tarn, France",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/europe-rock-climbing-trip?date=729,http://localhost:4444/admin/collections/event-dates/729
730,9,Europe Climbing Trip,2027-10-02,2027-10-09,"Margalef, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/europe-rock-climbing-trip?date=730,http://localhost:4444/admin/collections/event-dates/730
731,9,Europe Climbing Trip,2027-10-09,2027-10-16,"Rodellar, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/europe-rock-climbing-trip?date=731,http://localhost:4444/admin/collections/event-dates/731
757,20,Girls On Rock,2027-10-09,2027-10-16,"Cuenca, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/woman-climbing?date=757,http://localhost:4444/admin/collections/event-dates/757
772,4,Novice course,2027-10-16,2027-10-23,"Margalef, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/beginner-climbing-course?date=772,http://localhost:4444/admin/collections/event-dates/772
760,55,CLIMB & WORK,2027-10-16,2027-10-30,"Rodellar, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/climb-work?date=760,http://localhost:4444/admin/collections/event-dates/760
773,4,Novice course,2027-11-06,2027-11-13,"Sella, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/beginner-climbing-course?date=773,http://localhost:4444/admin/collections/event-dates/773
